Weight	Nested	Procedure	target	prime	condition	conditionDetail	correctResponse
1		ExpProc	wav\bouton.wav	wav\valeur.wav	4	spoA	f
1		ExpProc	wav\apparence.wav	wav\longueur.wav	3	spO	f
1		ExpProc	wav\démission.wav	wav\vocabulaire.wav	2	sPo	f
1		ExpProc	wav\botte.wav	wav\difficulté.wav	4	spoB	f
1		ExpProc	wav\opéra.wav	wav\film.wav	1	SpoA	j
1		ExpProc	wav\lait.wav	wav\jus.wav	1	SpoB	j
1		ExpProc	wav\dinosaure.wav	wav\comédie.wav	4	spoA	f
1		ExpProc	wav\démon.wav	wav\ange.wav	1	SpoB	j
1		ExpProc	wav\promesse.wav	wav\liquide.wav	4	spoB	f
1		ExpProc	wav\nourriture.wav	wav\pierre.wav	2	sPo	f
1		ExpProc	wav\bombe.wav	wav\canon.wav	1	SpoA	j
1		ExpProc	wav\rôle.wav	wav\angle.wav	3	spO	f
1		ExpProc	wav\attitude.wav	wav\soleil.wav	2	sPo	f
1		ExpProc	wav\pyjama.wav	wav\recherche.wav	4	spoB	f
1		ExpProc	wav\boire.wav	wav\acclamer.wav	3	spO	f
1		ExpProc	wav\chambre.wav	wav\salon.wav	1	SpoB	j
1		ExpProc	wav\révolution.wav	wav\ventre.wav	4	spoA	f
1		ExpProc	wav\fourmi.wav	wav\araignée.wav	1	SpoA	j
1		ExpProc	wav\criminel.wav	wav\maïs.wav	4	spoB	f
1		ExpProc	wav\frigo.wav	wav\télévision.wav	1	SpoA	j
1		ExpProc	wav\surprise.wav	wav\expérience.wav	2	sPo	f
1		ExpProc	wav\tradition.wav	wav\biographie.wav	3	spO	f
1		ExpProc	wav\question.wav	wav\organe.wav	4	spoA	f
1		ExpProc	wav\ravioli.wav	wav\nouilles.wav	1	SpoB	j
1		ExpProc	wav\triche.wav	wav\atelier.wav	3	spO	f
1		ExpProc	wav\efficacité.wav	wav\blague.wav	2	sPo	f
1		ExpProc	wav\restaurant.wav	wav\bar.wav	1	SpoB	j
1		ExpProc	wav\grippe.wav	wav\boîte.wav	4	spoB	f
1		ExpProc	wav\simple.wav	wav\courageux.wav	4	spoA	f
1		ExpProc	wav\gant.wav	wav\foulard.wav	1	SpoA	j
1		ExpProc	wav\ressort.wav	wav\lance-pierre.wav	3	spO	f
1		ExpProc	wav\manuel.wav	wav\papier.wav	1	SpoA	j
1		ExpProc	wav\piment.wav	wav\bougie.wav	2	sPo	f
1		ExpProc	wav\campagne.wav	wav\ville.wav	1	SpoB	j
1		ExpProc	wav\champignon.wav	wav\patron.wav	4	spoB	f
1		ExpProc	wav\loyer.wav	wav\miel.wav	4	spoA	f
1		ExpProc	wav\habitude.wav	wav\attaque.wav	2	sPo	f
1		ExpProc	wav\cheminée.wav	wav\fenêtre.wav	1	SpoA	j
1		ExpProc	wav\ascenseur.wav	wav\plage.wav	4	spoA	f
1		ExpProc	wav\inutile.wav	wav\confisqué.wav	3	spO	f
1		ExpProc	wav\citron.wav	wav\partage.wav	4	spoB	f
1		ExpProc	wav\montre.wav	wav\horloge.wav	1	SpoB	j
1		ExpProc	wav\race.wav	wav\plantation.wav	3	spO	f
1		ExpProc	wav\ballon.wav	wav\émotion.wav	4	spoA	f
1		ExpProc	wav\journal.wav	wav\violence.wav	2	sPo	f
1		ExpProc	wav\fils.wav	wav\père.wav	1	SpoA	j
1		ExpProc	wav\peau.wav	wav\écouteur.wav	4	spoB	f
1		ExpProc	wav\enfer.wav	wav\paradis.wav	1	SpoB	j
1		ExpProc	wav\épice.wav	wav\style.wav	4	spoA	f
1		ExpProc	wav\prière.wav	wav\représentant.wav	4	spoB	f
1		ExpProc	wav\téléphone.wav	wav\radio.wav	1	SpoA	j
1		ExpProc	wav\vacances.wav	wav\contrefaçon.wav	3	spO	f
1		ExpProc	wav\train.wav	wav\métro.wav	1	SpoB	j
1		ExpProc	wav\acteur.wav	wav\lunette.wav	2	sPo	f
1		ExpProc	wav\assistant.wav	wav\secrétaire.wav	1	SpoA	j
1		ExpProc	wav\cadeau.wav	wav\paysage.wav	4	spoB	f
1		ExpProc	wav\détail.wav	wav\système.wav	2	sPo	f
1		ExpProc	wav\canoter.wav	wav\diviser.wav	3	spO	f
1		ExpProc	wav\lion.wav	wav\tigre.wav	1	SpoB	j
1		ExpProc	wav\parapluie.wav	wav\enquête.wav	4	spoA	f
