Weight	Nested	Procedure	target	prime	condition	conditionDetail	correctResponse
1		ExpProc	wav\balcon.wav	wav\conseil.wav	4	spoB	f
1		ExpProc	wav\blocage.wav	wav\carte.wav	3	spO	f
1		ExpProc	wav\cou.wav	wav\peinture.wav	4	spoA	f
1		ExpProc	wav\léopard.wav	wav\zèbre.wav	1	SpoB	j
1		ExpProc	wav\moustique.wav	wav\article.wav	2	sPo	f
1		ExpProc	wav\dessert.wav	wav\pain.wav	1	SpoA	j
1		ExpProc	wav\toit.wav	wav\mur.wav	1	SpoB	j
1		ExpProc	wav\sérieux.wav	wav\couleur.wav	2	sPo	f
1		ExpProc	wav\lèvre.wav	wav\parc.wav	4	spoA	f
1		ExpProc	wav\milieu.wav	wav\empoisonné.wav	3	spO	f
1		ExpProc	wav\timbre.wav	wav\colis.wav	1	SpoA	j
1		ExpProc	wav\mari.wav	wav\logiciel.wav	4	spoB	f
1		ExpProc	wav\manteau.wav	wav\pantalon.wav	1	SpoA	j
1		ExpProc	wav\assiette.wav	wav\tasse.wav	1	SpoB	j
1		ExpProc	wav\ski.wav	wav\vase.wav	4	spoA	f
1		ExpProc	wav\poids.wav	wav\répétition.wav	3	spO	f
1		ExpProc	wav\sud.wav	wav\garçon.wav	2	sPo	f
1		ExpProc	wav\rat.wav	wav\entreprise.wav	4	spoB	f
1		ExpProc	wav\intérêt.wav	wav\excitation.wav	3	spO	f
1		ExpProc	wav\chapeau.wav	wav\ami.wav	4	spoB	f
1		ExpProc	wav\mer.wav	wav\science.wav	4	spoA	f
1		ExpProc	wav\chemise.wav	wav\pull.wav	1	SpoB	j
1		ExpProc	wav\divorce.wav	wav\poire.wav	2	sPo	f
1		ExpProc	wav\éléphant.wav	wav\chameau.wav	1	SpoA	j
1		ExpProc	wav\reflet.wav	wav\faillite.wav	3	spO	f
1		ExpProc	wav\étudiant.wav	wav\professeur.wav	1	SpoB	j
1		ExpProc	wav\premier.wav	wav\endroit.wav	2	sPo	f
1		ExpProc	wav\chaussette .wav	wav\alerte.wav	4	spoB	f
1		ExpProc	wav\budget.wav	wav\abeille.wav	4	spoA	f
1		ExpProc	wav\infirmière.wav	wav\médecin.wav	1	SpoA	j
1		ExpProc	wav\réunion.wav	wav\comptable.wav	3	spO	f
1		ExpProc	wav\clé.wav	wav\lecture.wav	4	spoB	f
1		ExpProc	wav\orange.wav	wav\pomme.wav	1	SpoB	j
1		ExpProc	wav\myrtille.wav	wav\cerise.wav	1	SpoA	j
1		ExpProc	wav\renard.wav	wav\barbe.wav	2	sPo	f
1		ExpProc	wav\chauffage.wav	wav\agenda.wav	4	spoA	f
1		ExpProc	wav\écran.wav	wav\clavier.wav	1	SpoA	j
1		ExpProc	wav\journaliste.wav	wav\saison.wav	2	sPo	f
1		ExpProc	wav\enquêter.wav	wav\flirter.wav	3	spO	f
1		ExpProc	wav\client.wav	wav\match.wav	4	spoA	f
1		ExpProc	wav\parfum.wav	wav\accident.wav	4	spoB	f
1		ExpProc	wav\guitare.wav	wav\piano.wav	1	SpoB	j
1		ExpProc	wav\signature.wav	wav\cuisine.wav	4	spoA	f
1		ExpProc	wav\sac-à-dos.wav	wav\récitation.wav	3	spO	f
1		ExpProc	wav\police.wav	wav\voleur.wav	1	SpoA	j
1		ExpProc	wav\singe.wav	wav\kangourou.wav	1	SpoB	j
1		ExpProc	wav\doigt.wav	wav\capital.wav	2	sPo	f
1		ExpProc	wav\poète.wav	wav\grenouille.wav	4	spoB	f
1		ExpProc	wav\surf.wav	wav\natation.wav	1	SpoA	j
1		ExpProc	wav\fromage.wav	wav\beurre.wav	1	SpoB	j
1		ExpProc	wav\poitrine.wav	wav\frère.wav	2	sPo	f
1		ExpProc	wav\rideau.wav	wav\bouteille.wav	4	spoB	f
1		ExpProc	wav\aventure.wav	wav\oreille.wav	4	spoA	f
1		ExpProc	wav\appliquer.wav	wav\devoir.wav	3	spO	f
1		ExpProc	wav\baignoire.wav	wav\semaine.wav	4	spoA	f
1		ExpProc	wav\publication.wav	wav\coiffure.wav	3	spO	f
1		ExpProc	wav\pêche.wav	wav\banane.wav	1	SpoB	j
1		ExpProc	wav\voix.wav	wav\gingembre.wav	2	sPo	f
1		ExpProc	wav\crabe.wav	wav\tortue.wav	1	SpoA	j
1		ExpProc	wav\bâtiment.wav	wav\relation.wav	4	spoB	f
