Weight	Nested	Procedure	target	prime	condition	conditionDetail	correctResponse
1		ExpProc	poitrine	frère	2	sPo	f
1		ExpProc	révolution	ventre	4	spoA	f
1		ExpProc	passeport	douane	1	SpoA	j
1		ExpProc	occupé	égoïste	4	spoB	f
1		ExpProc	coton	soie	1	SpoB	j
1		ExpProc	publication	coiffure	3	spO	f
1		ExpProc	singe	kangourou	1	SpoB	j
1		ExpProc	triche	atelier	3	spO	f
1		ExpProc	voiture	crayon	4	spoB	f
1		ExpProc	attitude	soleil	2	sPo	f
1		ExpProc	cheminée	fenêtre	1	SpoA	j
1		ExpProc	chauffage	agenda	4	spoA	f
1		ExpProc	montre	horloge	1	SpoB	j
1		ExpProc	poète	grenouille	4	spoB	f
1		ExpProc	rôle	angle	3	spO	f
1		ExpProc	voix	gingembre	2	sPo	f
1		ExpProc	crabe	tortue	1	SpoA	j
1		ExpProc	ski	vase	4	spoA	f
1		ExpProc	efficacité	blague	2	sPo	f
1		ExpProc	dessert	pain	1	SpoA	j
1		ExpProc	chapeau	ami	4	spoB	f
1		ExpProc	poids	répétition	3	spO	f
1		ExpProc	aventure	oreille	4	spoA	f
1		ExpProc	château	maison	1	SpoB	j
1		ExpProc	médecine	vêtement	2	sPo	f
1		ExpProc	coco	litchi	1	SpoB	j
1		ExpProc	rideau	bouteille	4	spoB	f
1		ExpProc	époux	forêt	4	spoA	f
1		ExpProc	richesse	argent	1	SpoA	j
1		ExpProc	inutile	confisqué	3	spO	f
1		ExpProc	bâtiment	relation	4	spoB	f
1		ExpProc	orange	pomme	1	SpoB	j
1		ExpProc	Pérou	secret	3	spO	f
1		ExpProc	budget	abeille	4	spoA	f
1		ExpProc	téléphone	radio	1	SpoA	j
1		ExpProc	habitude	attaque	2	sPo	f
1		ExpProc	fils	père	1	SpoA	j
1		ExpProc	divorce	poire	2	sPo	f
1		ExpProc	chanson	éponge	4	spoB	f
1		ExpProc	rappel	précaution	3	spO	f
1		ExpProc	toit	mur	1	SpoB	j
1		ExpProc	ballon	émotion	4	spoA	f
1		ExpProc	sérieux	couleur	2	sPo	f
1		ExpProc	peler	exploiter	3	spO	f
1		ExpProc	écran	clavier	1	SpoA	j
1		ExpProc	chaussette	examen	4	spoB	f
1		ExpProc	ravioli	nouilles	1	SpoB	j
1		ExpProc	mer	science	4	spoA	f
1		ExpProc	acteur	lunette	2	sPo	f
1		ExpProc	race	plantation	3	spO	f
1		ExpProc	parfum	accident	4	spoB	f
1		ExpProc	myrtille	cerise	1	SpoA	j
1		ExpProc	démon	ange	1	SpoB	j
1		ExpProc	baignoire	semaine	4	spoA	f
1		ExpProc	assistant	secrétaire	1	SpoA	j
1		ExpProc	pastèque	biologie	4	spoA	f
1		ExpProc	ceinture	auteur	4	spoB	f
1		ExpProc	apparence	longueur	3	spO	f
1		ExpProc	nourriture	pierre	2	sPo	f
1		ExpProc	enfer	paradis	1	SpoB	j
