Weight	Nested	Procedure	target	prime	condition	conditionDetail	correctResponse
1		ExpProc	action	jargon	3	spO	f
1		ExpProc	bombe	canon	1	SpoA	j
1		ExpProc	clé	lecture	4	spoB	f
1		ExpProc	tuyau	cygne	4	spoA	f
1		ExpProc	chemise	pull	1	SpoB	j
1		ExpProc	attention	célèbre	2	sPo	f
1		ExpProc	mari	logiciel	4	spoB	f
1		ExpProc	surf	natation	1	SpoA	j
1		ExpProc	doigt	capital	2	sPo	f
1		ExpProc	enquêter	flirter	3	spO	f
1		ExpProc	simple	courageux	4	spoA	f
1		ExpProc	mangue	fraise	1	SpoB	j
1		ExpProc	reflet	faillite	3	spO	f
1		ExpProc	commentaire	paysan	4	spoA	f
1		ExpProc	bracelet	équipe	4	spoB	f
1		ExpProc	léopard	zèbre	1	SpoB	j
1		ExpProc	manuel	papier	1	SpoA	j
1		ExpProc	rivière	paix	2	sPo	f
1		ExpProc	nez	yeux	1	SpoA	j
1		ExpProc	guitare	piano	1	SpoB	j
1		ExpProc	farine	politique	4	spoA	f
1		ExpProc	citron	partage	4	spoB	f
1		ExpProc	maire	vidéo	2	sPo	f
1		ExpProc	éplucher	affaiblir	3	spO	f
1		ExpProc	chambre	salon	1	SpoB	j
1		ExpProc	chaise	canapé	1	SpoA	j
1		ExpProc	cou	peinture	4	spoA	f
1		ExpProc	boire	acclamer	3	spO	f
1		ExpProc	raisin	servant	2	sPo	f
1		ExpProc	salaire	poison	4	spoB	f
1		ExpProc	infirmière	médecin	1	SpoA	j
1		ExpProc	présentation	conférence	1	SpoB	j
1		ExpProc	réunion	comptable	3	spO	f
1		ExpProc	épice	style	4	spoA	f
1		ExpProc	cadeau	paysage	4	spoB	f
1		ExpProc	démission	vocabulaire	2	sPo	f
1		ExpProc	question	organe	4	spoA	f
1		ExpProc	canoter	diviser	3	spO	f
1		ExpProc	détail	système	2	sPo	f
1		ExpProc	noix	amande	1	SpoA	j
1		ExpProc	peau	écouteur	4	spoB	f
1		ExpProc	croyance	religion	1	SpoB	j
1		ExpProc	timbre	colis	1	SpoA	j
1		ExpProc	bouton	valeur	4	spoA	f
1		ExpProc	milieu	empoisonné	3	spO	f
1		ExpProc	piment	bougie	2	sPo	f
1		ExpProc	ail	oignon	1	SpoB	j
1		ExpProc	botte	difficulté	4	spoB	f
1		ExpProc	tank	avion	1	SpoA	j
1		ExpProc	sud	garçon	2	sPo	f
1		ExpProc	séisme	publicité	4	spoA	f
1		ExpProc	assiette	tasse	1	SpoB	j
1		ExpProc	blocage	carte	3	spO	f
1		ExpProc	balcon	conseil	4	spoB	f
1		ExpProc	fromage	beurre	1	SpoB	j
1		ExpProc	tante	solitude	2	sPo	f
1		ExpProc	bague	collier	1	SpoA	j
1		ExpProc	papillon	objectif	4	spoB	f
1		ExpProc	sac-à-dos	récitation	3	spO	f
1		ExpProc	ascenseur	plage	4	spoA	f
